,Unnamed: 0,index,Número d'expedient,Codi_districte,Nom_districte,NK barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripció causa vianant_y,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_Y,Coordenada_UTM_X,Desc. Tipus vehicle implicat,Descripció victimització,Descripció sexe,Descripció tipus persona,Edat,Descripció causa mediata,Descripció tipus accident,Descripció causa vianant,Descripció tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Latitud,Longitud,Codi_barri,Num_postal_caption,Longitud_WGS84,Latitud_WGS84,Bicycles,Date,Latitude,Longitude
4022,70669,6939,2017S004646,2.0,Eixample,,la Dreta de l'Eixample,100800.0,DiputaciÃ³ / Catalunya                             ,0255 0255,Divendres,Dv,Laboral,2017,5,Maig,26,13,MatÃ­,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,2.0,4582558.26,430362.27,Bicicleta,Ferit lleu: HospitalitzaciÃ³ fins a 24h,Home,Conductor,54,No hi ha causa mediata,Col.lisiÃ³ lateral,No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Furgoneta, ;  ,BICING; FIAT,Vermell; Groc,Desconegut; B,41.389419,2.165737,7,,,,1,2017-05-26 13:00:00,41.389695434168004,2.1659375220373773
4023,70685,1458,2017S004662,1.0,Ciutat Vella,,la Barceloneta,10707.0,MarÃ­tim de la Barceloneta                         ,0026 0026,Divendres,Dv,Laboral,2017,5,Maig,26,18,Tarda,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,1.0,4581206.03,432466.08,Bicicleta,Ferit lleu: HospitalitzaciÃ³ fins a 24h,Desconegut,Vianant,29,No hi ha causa mediata,Atropellament,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Groc,Desconegut,41.377746,2.191274,3,,,,1,2017-05-26 18:00:00,41.37769632196972,2.191249703480958
4024,70723,5673,2017S004700,2.0,Eixample,,el Fort Pienc,144601.0,Consell de Cent / Diagonal                        ,0261 0261,Diumenge,Dg,Laboral,2017,5,Maig,28,7,MatÃ­,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,2.0,4583843.14,431534.14,Bicicleta,Ferit lleu: HospitalitzaciÃ³ fins a 24h,Dona,Conductor,36,No hi ha causa mediata,Col.lisiÃ³ fronto-lateral,No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Turisme, ; Desconegut,BTWIN; Desconegut,Negre; Desconegut,Desconegut; Desconegut,41.401264,2.178449,5,,,,1,2017-05-28 07:00:00,41.401369108785936,2.1798074277638917
4025,70727,1897,2017S004704,3.0,Sants-MontjuÃ¯c,,la Marina de Port,230601.0,Teresa Claramunt                                  ,0351 0351,Diumenge,Dg,Laboral,2017,5,Maig,28,11,MatÃ­,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,1.0,4579612.84,428112.89,Bicicleta,Ferit lleu: Amb assistÃ¨ncia sanitÃ ria en lloc d'accident,Home,Conductor,66,No hi ha causa mediata,Caiguda (dues rodes),No Ã©s causa del  vianant,Bicicleta,Desconegut,ERIDER,Blau,Desconegut,41.362735,2.139756,13,,,,1,2017-05-28 11:00:00,41.36296865154856,2.1393835849818874
4026,70740,9534,2017S004717,2.0,Eixample,,l'Antiga Esquerra de l'Eixample,180208.0,Londres / Villarroel                              ,0059 0059,Dilluns,Dl,Laboral,2017,5,Maig,29,9,MatÃ­,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,2.0,4582780.8,428863.66,Bicicleta,Ferit lleu: Amb assistÃ¨ncia sanitÃ ria en lloc d'accident,Dona,Conductor,45,No hi ha causa mediata,Caiguda (dues rodes),No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Turisme,Desconegut; LEON,ES DESCONEIX; SEAT,Desconegut; Blanc,Desconegut; B,41.391607,2.148287,8,,,,1,2017-05-29 09:00:00,41.39156818919516,2.147988087296733
4027,70758,2906,2017S004735,2.0,Eixample,,l'Antiga Esquerra de l'Eixample,100800.0,DiputaciÃ³ / Aribau                                ,0209 0209,Dilluns,Dl,Laboral,2017,5,Maig,29,20,Tarda,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,2.0,4582231.98,430029.29,Bicicleta,Ferit lleu: Amb assistÃ¨ncia sanitÃ ria en lloc d'accident,Home,Conductor,22,No hi ha causa mediata,Col.lisiÃ³ lateral,No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Turisme,Desconegut; 206,Desconegut; PEUGEOT,Negre; Gris,Desconegut; B,41.386483,2.161864,8,,,,1,2017-05-29 20:00:00,41.386727681754074,2.161992822808819
4028,70761,608,2017S004738,2.0,Eixample,,el Fort Pienc,169409.0,Corts Catalanes / SicÃ­lia                         ,0742 0742,Dilluns,Dl,Laboral,2017,5,Maig,29,21,Tarda,No Ã©s causa del  vianant; No Ã©s causa del  vianant,0.0,2.0,0.0,2.0,2.0,4583396.58,431494.08,Bicicleta; Ciclomotor,Ferit lleu: HospitalitzaciÃ³ fins a 24h; Ferit lleu: HospitalitzaciÃ³ fins a 24h,Home; Home,Conductor; Conductor,27; 35,No hi ha causa mediata,Col.lisiÃ³ lateral,No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Ciclomotor,Desconegut; SCOOPY,Desconegut; HONDA,Negre; Blau,Desconegut; B,41.397435,2.178932,5,,,,1,2017-05-29 21:00:00,41.39734360955617,2.1793788735424817
4029,70780,7976,2017S004757,1.0,Ciutat Vella,,el Barri GÃ²tic,130403.0,Fontanella                                        ,0002 0002,Dimarts,Dm,Laboral,2017,5,Maig,30,13,MatÃ­,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,1.0,4582260.12,430841.29,Bicicleta,Ferit lleu: HospitalitzaciÃ³ fins a 24h,Home,Vianant,69,No hi ha causa mediata,Atropellament,No Ã©s causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,41.387053,2.171697,2,,,,1,2017-05-30 13:00:00,41.38705164325836,2.1717006541542148
4030,70791,5358,2017S004768,2.0,Eixample,,la Nova Esquerra de l'Eixample,54509.0,CalÃ bria / DiputaciÃ³                              ,0119 0121,Dimecres,Dc,Laboral,2017,5,Maig,31,8,MatÃ­,No Ã©s causa del  vianant,0.0,1.0,0.0,1.0,2.0,4581561.81,429321.37,Bicicleta,Ferit lleu: HospitalitzaciÃ³ fins a 24h,Dona,Conductor,44,No hi ha causa mediata,Col.lisiÃ³ fronto-lateral; Col.lisiÃ³ frontal,No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Bicicleta,Desconegut; Desconegut,BTWIN; Desconegut,Negre; Negre,Desconegut; Desconegut,41.38052,2.15392,9,,,,1,2017-05-31 08:00:00,41.380629545086634,2.153604576127154
4031,70815,151,2017S004792,10.0,Sant MartÃ­,,el Parc i la Llacuna del Poblenou,30500.0,Badajoz                                           ,0157 0159,Dimecres,Dc,Laboral,2017,5,Maig,31,13,MatÃ­,No Ã©s causa del  vianant; No Ã©s causa del  vianant,0.0,2.0,0.0,2.0,2.0,4583913.82,432445.79,Bicicleta; Bicicleta,Ferit lleu: HospitalitzaciÃ³ fins a 24h; Ferit lleu: HospitalitzaciÃ³ fins a 24h,Home; Home,Passatger; Conductor,2; 37,No hi ha causa mediata,Abast,No Ã©s causa del  vianant; No Ã©s causa del  vianant,Bicicleta; Turisme,Desconegut; LODGY,ORBEA; DACIA,Desconegut; Desconegut,Desconegut; B,41.402084,2.190701,66,,,,1,2017-05-31 13:00:00,41.40208306906464,2.190704783633491
